id,module,question,option_a,option_b,option_c,option_d,correct
1,Module 01: Hiểu biết về CNTT cơ bản,Phần cứng máy tính là gì?,"Các bộ phận cụ thể của máy tính về mặt vật lý như màn hình, chuột, bàn phím,...",Cấu tạo của phần mềm về mặt logic,Cấu tạo của phần mềm về mặt vật lý,Cả 3 phương án đều sai,A
2,Module 01: Hiểu biết về CNTT cơ bản,Lựa chọn nào cho thấy máy tính xách tay có lợi thế hơn so với máy tính để bàn?,Máy tính xách tay có thể mang đi bất kì đâu,Một máy tính xách tay có thể tái sử dụng các thành phần của nó có thể được sử dụng cho máy tính xách tay khác,Sửa máy tính xách tay ít tốn kém hơn,Máy tính xách tay thường có kích thước lớn hơn máy tính để bàn,A
3,Module 01: Hiểu biết về CNTT cơ bản,"Trong máy tính, PC là chữ viết tắt của từ nào?",Performance Computer,Personnal Connector,Personal Computer,Printing Computer,C
4,Module 01: Hiểu biết về CNTT cơ bản,"Một loại máy tính có màn hình cảm ứng, khi sử dụng người dùng có thể dùng bút hoặc công cụ chọn để chạm vào, lựa chọn một đối tượng nào đó hoặc có thể nhập thông tin qua bàn phím ảo tích hợp trong máy là?",Máy tính bảng,Máy chủ,Máy tính để bàn,Máy tính FX500,A
5,Module 01: Hiểu biết về CNTT cơ bản,Điện thoại thông minh (smartphone) là gì?,Hỗ trợ tất cả các kiểu hệ điều hành,Bền hơn so với điện thoại di động khác,Điện thoại chỉ có chức năng nghe và gọi,Điện thoại tích hợp một nền tảng hệ điều hành di động với nhiều tính năng hỗ trợ tiên tiến,D
6,Module 01: Hiểu biết về CNTT cơ bản,Thiết bị ngoại vi của máy tính là thiết bị nào?,Máy nghe nhạc Mp3,Máy tính bảng,Sách điện tử,Máy in,D
7,Module 01: Hiểu biết về CNTT cơ bản,Các thiết bị dùng để nhập dữ liệu vào máy tính là?,Loa máy tính,"Bàn phím, máy ghi hình trực tiếp, chuột, máy quét",Máy fax,Máy in,B
8,Module 01: Hiểu biết về CNTT cơ bản,Những thiết bị nào sau đây được xếp vào nhóm thiết bị ngoại vi?,"Mainboard, CPU, CD-ROM Drive, Chuột","HDD, CD-ROM Drive, FDD, bàn phím","Bàn phím, chuột, màn hình, máy in","Màn hình, CPU, RAM, Main",C
9,Module 01: Hiểu biết về CNTT cơ bản,"Các thành phần: RAM, CPU, thiết bị nhập xuất là?",Phần mềm máy tính,Thiết bị lưu trữ,Phần cứng máy tính,Thiết bị mạng và truyền thông,C
10,Module 01: Hiểu biết về CNTT cơ bản,"Thuật ngữ ""RAM"" là từ viết tắt của cụm từ?",Read Access Memory,Recent Access Memory,Random Access Memory,Read And Modify,C
11,Module 01: Hiểu biết về CNTT cơ bản,ROM là bộ nhớ gì?,Bộ nhớ tạm thời,Bộ nhớ chỉ đọc,"Bộ nhớ đọc, ghi",Bộ nhớ ngoài,B
12,Module 01: Hiểu biết về CNTT cơ bản,CPU là gì?,Bộ xử lý trung tâm của máy tính,Thiết bị lưu trữ của máy tính,Thiết bị nhập liệu của máy tính,Thiết bị hiển thị của máy tính,A
13,Module 01: Hiểu biết về CNTT cơ bản,MB (Megabyte) là đơn vị đo gì?,Đo tốc độ mạng,Đo tốc độ của nguồn máy tính,Độ phân giải màn hình,Đo dung lượng của thiết bị lưu trữ như đĩa cứng,D
14,Module 01: Hiểu biết về CNTT cơ bản,ROM là viết tắt của từ gì?,Random Only Memory,Read One Memory,Random One Memory,Read Only Memory,D
15,Module 01: Hiểu biết về CNTT cơ bản,Phát biểu nào là đúng khi nói đến CPU?,CPU được tạo bởi bộ nhớ RAM và ROM,CPU lưu trữ các phần mềm người sử dụng,CPU thường được tích hợp với một chip gọi là vi xử lý,"CPU là viết tắt của Processing Unit, là đơn vị xử lý trung tâm được tích hợp trong một chip được gọi là một vi xử lý, để xử lý dữ liệu và dịch các lệnh của chương trình",D
16,Module 01: Hiểu biết về CNTT cơ bản,Đơn vị đo thông tin nhỏ nhất của máy tính là gì?,Bit,Byte,Megabyte,Terabyte,A
17,Module 01: Hiểu biết về CNTT cơ bản,Bit là gì?,Là đơn vị nhỏ nhất của thông tin được sử dụng trong máy tính,Là một phần tử nhỏ mang một trong 2 giá trị 0 và 1,Tất cả các đáp án đều đúng,Là một đơn vị đo thông tin,C
18,Module 01: Hiểu biết về CNTT cơ bản,1 byte bằng?,2 bit,10 bit,16 bit,8 bit,D
19,Module 01: Hiểu biết về CNTT cơ bản,1 KB bằng?,1000 bit,1024 byte,1024 bit,1000 byte,B
20,Module 01: Hiểu biết về CNTT cơ bản,CPU thực hiện công việc nào sau đây?,Lưu trữ dữ liệu,Nhập dữ liệu,Xuất dữ liệu,Xử lý dữ liệu,D
21,Module 01: Hiểu biết về CNTT cơ bản,Kể tên các loại bộ nhớ trong?,Bộ nhớ truy cập ngẫu nhiên (RAM),Bộ nhớ chỉ đọc (ROM),Đĩa cứng (Hard disk),Bộ nhớ truy cập ngẫu nhiên (RAM) và bộ nhớ chỉ đọc (ROM),D
22,Module 01: Hiểu biết về CNTT cơ bản,Các thiết bị nào có thể thiếu trong một bộ máy tính?,Bộ nguồn,Ổ đĩa mềm,Bộ nhớ RAM,Màn hình,B
